Godzina sprzedaży; Nazwa artykułu; Wartość netto; Stawka podatku VAT w %; Typ artykułu; Wartość sprzedaży narastająco
9:50;artykuł162;23,45;23;kosmetyki;11344,31
9:50;artykuł171;12,78;23;kosmetyki;11357,09
9:50;artykuł562;7,82;23;kosmetyki;11364,91
9:50;artykuł562;7,82;23;kosmetyki;11372,73
9:50;artykuł602;0,73;23;kosmetyki;11373,46
9:50;artykuł85;11,93;23;kosmetyki;11385,39
9:50;artykuł85;11,93;23;kosmetyki;11397,32
9:50;artykuł85;11,93;23;kosmetyki;11409,25
9:50;artykuł102;12,89;5;spożywcze;11422,14
9:50;artykuł103;18,45;23;spożywcze;11440,59
9:50;artykuł103;18,45;23;spożywcze;11459,04
9:50;artykuł46;1,69;5;spożywcze;11460,73
9:50;artykuł47;2,11;5;spożywcze;11462,84
9:50;artykuł50;3,37;5;spożywcze;11466,21
9:50;artykuł51;3,79;5;spożywcze;11470
9:50;artykuł58;6,73;23;spożywcze;11476,73
9:50;artykuł61;7,99;23;spożywcze;11484,72
9:50;artykuł23;47,81;23;obuwie;11532,53
9:50;artykuł24;52,72;23;obuwie;11585,25
9:50;artykuł24;-52,72;23;obuwie;11532,53
9:50;artykuł24;52,72;23;obuwie;11585,25
9:50;artykuł24;-52,72;23;obuwie;11532,53
9:50;artykuł25;240,78;23;obuwie;11773,31
9:50;artykuł26;36,82;23;obuwie;11810,13
9:50;artykuł163;36,8;23;obuwie;11846,93
9:50;artykuł1;135,78;23;agd;11982,71
9:50;artykuł2;35,14;23;agd;12017,85
9:50;artykul3;78,9;23;agd;12096,75
9:50;artykuł6;12,5;8;leki;12109,25
9:50;artykuł111;5,45;5;prasa;12114,7
9:50;artykuł253;3,8;8;prasa;12118,5
9:50;artykuł253;3,8;8;prasa;12122,3
9:50;artykuł567;15,74;8;prasa;12138,04
9:50;artykuł466;24,85;8;prasa;12162,89
9:50;artykuł466;24,85;8;prasa;12187,74
10:04;artykuł40;50,81;23;odzież;12238,55
10:04;artykuł87;124;23;odzież;12362,55
10:04;artykuł116;2,48;23;kosmetyki;12365,03
10:04;artykuł116;2,48;23;kosmetyki;12367,51
10:04;artykuł137;7,34;23;kosmetyki;12374,85
10:04;artykuł137;7,34;23;kosmetyki;12382,19
10:04;artykuł250;18,54;23;kosmetyki;12400,73
10:04;artykuł82;8,93;23;kosmetyki;12409,66
10:04;artykuł83;9,93;23;kosmetyki;12419,59
10:04;artykuł84;10,93;23;kosmetyki;12430,52
10:04;artykuł102;12,89;5;spożywcze;12443,41
10:04;artykuł50;3,37;5;spożywcze;12446,78
10:04;artykuł54;5,05;23;spożywcze;12451,83
10:04;artykuł59;7,15;23;spożywcze;12458,98
10:04;artykuł62;8,41;23;spożywcze;12467,39
10:04;artykuł63;8,83;23;spożywcze;12476,22
10:04;artykuł64;9,25;23;spożywcze;12485,47
10:04;artykuł30;15,68;5;dziecięce;12501,15
10:04;artykuł31;54,71;5;dziecięce;12555,86
10:04;artykuł33;230,74;5;dziecięce;12786,6
10:04;artykuł24;52,72;23;obuwie;12839,32
10:04;artykuł28;63,9;23;obuwie;12903,22
10:04;artykuł28;63,9;23;obuwie;12967,12
10:04;artykuł463;23,75;23;obuwie;12990,87
10:04;artykuł2;35,14;23;agd;13026,01
10:04;artykuł252;59,62;23;agd;13085,63
10:04;artykuł72;22,22;8;leki;13107,85
10:04;artykuł75;11,6;8;leki;13119,45
10:04;artykuł77;46,71;8;leki;13166,16
10:04;artykuł78;48,5;8;leki;13214,66
10:04;artykuł112;20,11;5;prasa;13234,77
10:04;artykuł156;4,39;5;prasa;13239,16
10:04;artykuł184;6,49;8;prasa;13245,65
10:04;artykuł563;9,51;8;prasa;13255,16
10:04;artykuł178;13,74;8;prasa;13268,9
10:19;artykuł35;45,81;23;odzież;13314,71
10:19;artykuł36;46,81;23;odzież;13361,52
10:19;artykuł40;50,81;23;odzież;13412,33
10:19;artykuł44;54,81;23;odzież;13467,14
10:19;artykuł42;52,81;23;odzież;13519,95
10:19;artykuł41;51,81;23;odzież;13571,76
10:19;artykuł44;54,81;23;odzież;13626,57
10:19;artykuł86;99,99;23;odzież;13726,56
10:19;artykuł87;124;23;odzież;13850,56
10:19;artykuł116;2,48;23;kosmetyki;13853,04
10:19;artykuł116;2,48;23;kosmetyki;13855,52
10:19;artykuł162;23,45;23;kosmetyki;13878,97
10:19;artykuł171;12,78;23;kosmetyki;13891,75
10:19;artykuł186;6,82;23;kosmetyki;13898,57
10:19;artykuł186;6,82;23;kosmetyki;13905,39
10:19;artykuł262;25,8;23;kosmetyki;13931,19
10:19;artykuł262;25,8;23;kosmetyki;13956,99
10:19;artykuł510;4,82;23;kosmetyki;13961,81
10:19;artykuł558;27,53;23;kosmetyki;13989,34
10:19;artykuł562;7,82;23;kosmetyki;13997,16
10:19;artykuł81;7,93;23;kosmetyki;14005,09
10:19;artykuł102;12,89;5;spożywcze;14017,98
10:19;artykuł102;12,89;5;spożywcze;14030,87
10:19;artykuł103;18,45;23;spożywcze;14049,32
10:19;artykuł51;3,79;5;spożywcze;14053,11
10:19;artykuł51;3,79;5;spożywcze;14056,9
10:19;artykuł52;4,21;5;spożywcze;14061,11
10:19;artykuł55;5,47;23;spożywcze;14066,58
10:19;artykuł55;5,47;23;spożywcze;14072,05
10:19;artykuł58;6,73;23;spożywcze;14078,78
10:19;artykuł58;6,73;23;spożywcze;14085,51
10:19;artykuł64;9,25;23;spożywcze;14094,76
10:19;artykuł33;230,74;5;dziecięce;14325,5
10:19;artykuł34;6,84;5;dziecięce;14332,34
10:19;artykuł21;240;5;obuwie;14572,34
10:19;artykuł23;47,81;23;obuwie;14620,15
10:19;artykuł24;52,72;23;obuwie;14672,87
10:19;artykuł25;240,78;23;obuwie;14913,65
10:19;artykuł29;72,63;5;obuwie;14986,28
10:19;artykuł29;72,63;5;obuwie;15058,91
10:19;artykuł29;72,63;5;obuwie;15131,54
10:19;artykuł251;153,84;23;obuwie;15285,38
10:19;artykuł463;23,75;23;obuwie;15309,13
10:19;artykuł187;90,32;23;obuwie;15399,45
10:19;artykuł191;29;23;obuwie;15428,45
10:19;artykuł175;57,81;23;obuwie;15486,26
10:19;artykuł2;35,14;23;agd;15521,4
10:19;artykuł604;13,13;23;agd;15534,53
10:19;artykuł8;34,56;8;leki;15569,09
10:19;artykuł71;12,99;8;leki;15582,08
10:19;artykuł76;36,26;8;leki;15618,34
10:19;artykuł76;36,26;8;leki;15654,6
10:19;artykuł77;46,71;8;leki;15701,31
10:19;artykuł78;48,5;8;leki;15749,81
10:19;artykuł111;5,45;5;prasa;15755,26
10:19;artykuł150;62,9;5;prasa;15818,16
10:19;artykuł184;6,49;8;prasa;15824,65
10:19;artykuł177;32,79;8;prasa;15857,44
10:19;artykuł178;13,74;8;prasa;15871,18
10:33;artykuł36;46,81;23;odzież;15917,99
10:33;artykuł43;53,81;23;odzież;15971,8
10:33;artykuł116;2,48;23;kosmetyki;15974,28
10:33;artykuł176;61,75;23;kosmetyki;16036,03
10:33;artykuł250;18,54;23;kosmetyki;16054,57
10:33;artykuł555;48,21;23;kosmetyki;16102,78
10:33;artykuł602;0,73;23;kosmetyki;16103,51
10:33;artykuł85;11,93;23;kosmetyki;16115,44
10:33;artykuł102;12,89;5;spożywcze;16128,33
10:33;artykuł102;12,89;5;spożywcze;16141,22
10:33;artykuł102;12,89;5;spożywcze;16154,11
10:33;artykuł47;2,11;5;spożywcze;16156,22
10:33;artykuł52;4,21;5;spożywcze;16160,43
10:33;artykuł55;5,47;23;spożywcze;16165,9
10:33;artykuł58;6,73;23;spożywcze;16172,63
10:33;artykuł60;7,57;23;spożywcze;16180,2
10:33;artykuł31;54,71;5;dziecięce;16234,91
10:33;artykuł34;6,84;5;dziecięce;16241,75
10:33;artykuł34;6,84;5;dziecięce;16248,59
10:33;artykuł34;6,84;5;dziecięce;16255,43
10:33;artykuł24;52,72;23;obuwie;16308,15
10:33;artykuł26;36,82;23;obuwie;16344,97
10:33;artykuł26;36,82;23;obuwie;16381,79
10:33;artykuł26;36,82;23;obuwie;16418,61
10:33;artykuł28;63,9;23;obuwie;16482,51
10:33;artykuł28;63,9;23;obuwie;16546,41
10:33;artykuł29;72,63;5;obuwie;16619,04
10:33;artykuł115;45,72;23;obuwie;16664,76
10:33;artykuł175;57,81;23;obuwie;16722,57
10:33;artykuł2;35,14;23;agd;16757,71
10:33;artykuł2;35,14;23;agd;16792,85
10:33;artykuł7;25,9;8;leki;16818,75
10:33;artykuł605;4,73;8;prasa;16823,48
10:33;artykuł165;0,78;8;prasa;16824,26
10:33;artykuł556;9,45;8;prasa;16833,71
10:33;artykuł192;9,11;8;prasa;16842,82
10:33;artykuł514;6,71;8;prasa;16849,53
10:33;artykuł114;27,9;8;prasa;16877,43
10:48;artykuł87;124;23;odzież;17001,43
10:48;artykuł137;7,34;23;kosmetyki;17008,77
10:48;artykuł137;7,34;23;kosmetyki;17016,11
10:48;artykuł176;61,75;23;kosmetyki;17077,86
10:48;artykuł558;27,53;23;kosmetyki;17105,39
10:48;artykuł82;8,93;23;kosmetyki;17114,32
10:48;artykuł83;9,93;23;kosmetyki;17124,25
10:48;artykuł84;10,93;23;kosmetyki;17135,18
10:48;artykuł103;18,45;23;spożywcze;17153,63
10:48;artykuł104;0,78;5;spożywcze;17154,41
10:48;artykuł48;2,53;23;spożywcze;17156,94
10:48;artykuł50;3,37;5;spożywcze;17160,31
10:48;artykuł51;3,79;5;spożywcze;17164,1
10:48;artykuł54;5,05;23;spożywcze;17169,15
10:48;artykuł56;5,89;23;spożywcze;17175,04
10:48;artykuł60;7,57;23;spożywcze;17182,61
10:48;artykuł21;240;5;obuwie;17422,61
10:48;artykuł22;162,9;5;obuwie;17585,51
10:48;artykuł25;240,78;23;obuwie;17826,29
10:48;artykuł26;36,82;23;obuwie;17863,11
10:48;artykuł26;36,82;23;obuwie;17899,93
10:48;artykuł26;36,82;23;obuwie;17936,75
10:48;artykuł26;36,82;23;obuwie;17973,57
10:48;artykuł137;89,45;23;obuwie;18063,02
10:48;artykuł1;135,78;23;agd;18198,8
10:48;artykuł72;22,22;8;leki;18221,02
10:48;artykuł156;4,39;5;prasa;18225,41
10:48;artykuł465;11,62;5;prasa;18237,03
10:48;artykuł253;3,8;8;prasa;18240,83
10:48;artykuł605;4,73;8;prasa;18245,56
10:48;artykuł563;9,51;8;prasa;18255,07
11:02;artykuł172;4,67;23;kosmetyki;18259,74
11:02;artykuł190;71,5;23;kosmetyki;18331,24
11:02;artykuł82;8,93;23;kosmetyki;18340,17
11:02;artykuł84;10,93;23;kosmetyki;18351,1
11:02;artykuł103;18,45;23;spożywcze;18369,55
11:02;artykuł48;2,53;23;spożywcze;18372,08
11:02;artykuł49;2,95;23;spożywcze;18375,03
11:02;artykuł56;5,89;23;spożywcze;18380,92
11:02;artykuł56;5,89;23;spożywcze;18386,81
11:02;artykuł60;7,57;23;spożywcze;18394,38
11:02;artykuł30;15,68;5;dziecięce;18410,06
11:02;artykuł30;15,68;5;dziecięce;18425,74
11:02;artykuł22;162,9;5;obuwie;18588,64
11:02;artykuł28;63,9;23;obuwie;18652,54
11:02;artykuł29;72,63;5;obuwie;18725,17
11:02;artykuł163;36,8;23;obuwie;18761,97
11:02;artykuł1;135,78;23;agd;18897,75
11:02;artykuł2;35,14;23;agd;18932,89
11:02;artykuł252;59,62;23;agd;18992,51
11:02;artykuł77;46,71;8;leki;19039,22
11:02;artykuł253;3,8;8;prasa;19043,02
11:02;artykuł605;4,73;8;prasa;19047,75
11:02;artykuł178;13,74;8;prasa;19061,49
11:16;artykuł41;51,81;23;odzież;19113,3
11:16;artykuł40;50,81;23;odzież;19164,11
11:16;artykuł43;53,81;23;odzież;19217,92
11:16;artykuł41;51,81;23;odzież;19269,73
11:16;artykuł87;124;23;odzież;19393,73
11:16;artykuł137;7,34;23;kosmetyki;19401,07
11:16;artykuł172;4,67;23;kosmetyki;19405,74
11:16;artykuł172;4,67;23;kosmetyki;19410,41
11:16;artykuł558;27,53;23;kosmetyki;19437,94
11:16;artykuł602;0,73;23;kosmetyki;19467,38
11:16;artykuł83;9,93;23;kosmetyki;19477,31
11:16;artykuł84;10,93;23;kosmetyki;19488,24
11:16;artykuł102;12,89;5;spożywcze;19501,13
11:16;artykuł103;18,45;23;spożywcze;19519,58
11:16;artykuł47;2,11;5;spożywcze;19521,69
11:16;artykuł48;2,53;23;spożywcze;19524,22
11:16;artykuł53;4,63;23;spożywcze;19528,85
11:16;artykuł55;5,47;23;spożywcze;19534,32
11:16;artykuł62;8,41;23;spożywcze;19542,73
11:16;artykuł23;47,81;23;obuwie;19590,54
11:16;artykuł26;36,82;23;obuwie;19627,36
11:16;artykuł27;83,36;23;obuwie;19710,72
11:16;artykuł28;63,9;23;obuwie;19774,62
11:16;artykuł29;72,63;5;obuwie;19847,25
11:16;artykuł29;72,63;5;obuwie;19919,88
11:16;artykuł29;72,63;5;obuwie;19992,51
11:16;artykuł71;12,99;8;leki;20005,5
11:16;artykuł73;45,67;8;leki;20051,17
11:16;artykuł78;48,5;8;leki;20099,67
11:16;artykuł79;31,52;8;leki;20131,19
11:16;artykuł111;5,45;5;prasa;20136,64
11:16;artykuł111;5,45;5;prasa;20142,09
11:16;artykuł150;62,9;5;prasa;20204,99
11:16;artykuł156;4,39;5;prasa;20209,38
11:16;artykuł465;11,62;5;prasa;20221
11:16;artykuł192;9,11;8;prasa;20230,11
11:16;artykuł189;8;8;prasa;20238,11
11:16;artykuł113;49,2;8;prasa;20287,31
11:16;artykuł113;49,2;8;prasa;20336,51
11:16;artykuł114;27,9;8;prasa;20364,41
11:31;artykuł37;47,81;23;odzież;20412,22
11:31;artykuł42;52,81;23;odzież;20465,03
11:31;artykuł86;99,99;23;odzież;20565,02
11:31;artykuł86;99,99;23;odzież;20665,01
11:31;artykuł86;-99,99;23;odzież;20565,02
11:31;artykuł162;23,45;23;kosmetyki;20588,47
11:31;artykuł250;18,54;23;kosmetyki;20607,01
11:31;artykuł250;18,54;23;kosmetyki;20625,55
11:31;artykuł262;25,8;23;kosmetyki;20651,35
11:31;artykuł555;48,21;23;kosmetyki;20699,56
11:31;artykuł102;12,89;5;spożywcze;20712,45
11:31;artykuł102;12,89;5;spożywcze;20725,34
11:31;artykuł103;18,45;23;spożywcze;20743,79
11:31;artykuł55;5,47;23;spożywcze;20749,26
11:31;artykuł61;7,99;23;spożywcze;20757,25
11:31;artykuł64;9,25;23;spożywcze;20766,5
11:31;artykuł31;54,71;5;dziecięce;20821,21
11:31;artykuł22;162,9;5;obuwie;20984,11
11:31;artykuł26;36,82;23;obuwie;21020,93
11:31;artykuł27;83,36;23;obuwie;21104,29
11:31;artykuł28;63,9;23;obuwie;21168,19
