id pods¹dnego;  id czynu;  id sêdziego;  data rozp I instancji;  data wyroku I nst;  wyrok I inst
1144; 4; 1;  07.08.2025;  15.08.2025; 4
1147; 2; 1;  20.01.2025;  25.01.2025; 8
1149; 1; 5;  10.05.2025;  15.05.2025; 17
1156; 4; 3;  11.08.2025;  16.08.2025; 3
1160; 2; 3;  24.01.2025;  28.01.2025; 10
1162; 4; 1;  14.08.2025;  20.08.2025; 4
1166; 2; 5;  28.01.2025;  29.01.2025; 7
1172; 1; 4;  15.05.2025;  20.05.2025; 18
1173; 3; 2;  23.03.2025;  26.03.2025; 21
1180; 1; 1;  18.05.2025;  20.05.2025; 18
1187; 6; 1;  07.07.2025;  16.07.2025; 13
1194; 2; 6;  03.02.2025;  11.02.2025; 5
1195; 6; 5;  08.07.2025;  13.07.2025; 12
1201; 3; 3;  28.03.2025;  04.04.2025; 22
1202; 1; 4;  23.05.2025;  28.05.2025; 18
1204; 1; 5;  28.05.2025;  07.06.2025; 20
1207; 5; 5;  13.05.2025;  18.05.2025; 2
1208; 7; 6;  09.10.2025;  11.10.2025; 1
1212; 8; 4;  14.11.2025;  16.11.2025; 7
1214; 4; 2;  19.08.2025;  26.08.2025; 4
1216; 3; 6;  30.03.2025;  01.04.2025; 18
1217; 6; 5;  08.07.2025;  15.07.2025; 11
1224; 2; 4;  07.02.2025;  17.02.2025; 9
1234; 3; 2;  01.04.2025;  01.04.2025; 23
1237; 5; 1;  14.05.2025;  17.05.2025; 1
1240; 3; 3;  01.04.2025;  10.04.2025; 22
1246; 3; 2;  02.04.2025;  03.04.2025; 23
1248; 2; 2;  10.02.2025;  19.02.2025; 7
1249; 3; 6;  05.04.2025;  11.04.2025; 22
1251; 4; 5;  21.08.2025;  28.08.2025; 5
1252; 4; 3;  22.08.2025;  28.08.2025; 5
1254; 6; 2;  08.07.2025;  12.07.2025; 15
1256; 3; 5;  08.04.2025;  09.04.2025; 22
1259; 2; 3;  14.02.2025;  17.02.2025; 9
1261; 1; 1;  03.06.2025;  12.06.2025; 19
1265; 3; 5;  12.04.2025;  16.04.2025; 18
1277; 7; 3;  13.10.2025;  15.10.2025; 10
1278; 6; 4;  17.07.2025;  23.07.2025; 13
1280; 1; 6;  06.06.2025;  07.06.2025; 22
1286; 2; 3;  21.02.2025;  27.02.2025; 7
1287; 2; 5;  25.02.2025;  06.03.2025; 5
1290; 2; 5;  28.02.2025;  01.03.2025; 5
1295; 8; 2;  18.11.2025;  19.11.2025; 1
1301; 4; 6;  26.08.2025;  28.08.2025; 3
1304; 1; 2;  12.06.2025;  12.06.2025; 23
1310; 6; 5;  17.07.2025;  17.07.2025; 11
1312; 2; 4;  03.03.2025;  03.03.2025; 9
1317; 4; 3;  28.08.2025;  01.09.2025; 4
1318; 5; 3;  18.05.2025;  27.05.2025; 2
1319; 2; 4;  07.03.2025;  16.03.2025; 7
1320; 6; 1;  20.07.2025;  29.07.2025; 12
1322; 1; 3;  18.06.2025;  24.06.2025; 16
1325; 7; 3;  14.10.2025;  18.10.2025; 5
1333; 1; 2;  22.06.2025;  01.07.2025; 18
1335; 1; 1;  27.06.2025;  29.06.2025; 17
1338; 4; 2;  31.08.2025;  04.09.2025; 3
1341; 2; 5;  11.03.2025;  14.03.2025; 9
1344; 3; 5;  14.04.2025;  14.04.2025; 15
1345; 4; 4;  01.09.2025;  05.09.2025; 4
1347; 6; 1;  25.07.2025;  28.07.2025; 10
1349; 2; 1;  15.03.2025;  24.03.2025; 7
1352; 2; 1;  19.03.2025;  26.03.2025; 9
1358; 5; 6;  19.05.2025;  26.05.2025; 2
1360; 7; 6;  19.10.2025;  27.10.2025; 4
1364; 4; 3;  07.09.2025;  13.09.2025; 5
1368; 3; 2;  21.04.2025;  29.04.2025; 19
1369; 4; 3;  11.09.2025;  21.09.2025; 4
1373; 1; 5;  01.07.2025;  09.07.2025; 16
1375; 2; 5;  22.03.2025;  26.03.2025; 5
1376; 1; 3;  06.07.2025;  09.07.2025; 22
1379; 2; 6;  26.03.2025;  03.04.2025; 6
1383; 1; 2;  11.07.2025;  18.07.2025; 24
1385; 4; 3;  18.09.2025;  20.09.2025; 3
1386; 5; 1;  26.05.2025;  04.06.2025; 3
1389; 2; 2;  29.03.2025;  04.04.2025; 9
1398; 1; 4;  17.07.2025;  20.07.2025; 19
1401; 6; 1;  26.07.2025;  27.07.2025; 14
1403; 3; 4;  24.04.2025;  28.04.2025; 24
1405; 5; 5;  28.05.2025;  06.06.2025; 2
1410; 1; 2;  21.07.2025;  23.07.2025; 20
1412; 6; 2;  29.07.2025;  06.08.2025; 13
1413; 3; 2;  27.04.2025;  01.05.2025; 19
1416; 6; 3;  03.08.2025;  09.08.2025; 14
1417; 1; 6;  24.07.2025;  30.07.2025; 20
1421; 1; 2;  28.07.2025;  01.08.2025; 22
1425; 4; 5;  21.09.2025;  01.10.2025; 3
1427; 5; 5;  29.05.2025;  05.06.2025; 3
1432; 4; 4;  24.09.2025;  29.09.2025; 4
1434; 5; 4;  03.06.2025;  09.06.2025; 2
1435; 5; 1;  07.06.2025;  09.06.2025; 2
1438; 1; 4;  01.08.2025;  10.08.2025; 17
1442; 6; 1;  06.08.2025;  09.08.2025; 11
1453; 1; 5;  06.08.2025;  07.08.2025; 21
1457; 6; 4;  11.08.2025;  18.08.2025; 15
1459; 1; 6;  11.08.2025;  16.08.2025; 19
1463; 1; 5;  15.08.2025;  20.08.2025; 17
1465; 1; 3;  21.08.2025;  25.08.2025; 21
1468; 5; 3;  09.06.2025;  15.06.2025; 2
1469; 3; 3;  02.05.2025;  09.05.2025; 17
1472; 3; 6;  02.05.2025;  11.05.2025; 20
1473; 4; 1;  26.09.2025;  03.10.2025; 3
1480; 3; 6;  03.05.2025;  06.05.2025; 25
1496; 2; 5;  01.04.2025;  03.04.2025; 9
1501; 6; 6;  13.08.2025;  20.08.2025; 13
1502; 6; 1;  16.08.2025;  20.08.2025; 13
1504; 2; 4;  05.04.2025;  13.04.2025; 5
1506; 6; 3;  20.08.2025;  22.08.2025; 13
1511; 7; 4;  26.10.2025;  30.10.2025; 9
1516; 6; 5;  21.08.2025;  29.08.2025; 12
1518; 6; 2;  24.08.2025;  27.08.2025; 11
1523; 6; 5;  27.08.2025;  02.09.2025; 14
1525; 2; 5;  08.04.2025;  16.04.2025; 8
1526; 7; 5;  27.10.2025;  31.10.2025; 6
1532; 1; 5;  05.09.2025;  07.09.2025; 25
1534; 3; 6;  06.05.2025;  07.05.2025; 20
1541; 4; 4;  28.09.2025;  04.10.2025; 3
1548; 2; 6;  12.04.2025;  14.04.2025; 8
1550; 5; 4;  13.06.2025;  22.06.2025; 2
1553; 4; 6;  01.10.2025;  03.10.2025; 4
1555; 5; 3;  14.06.2025;  17.06.2025; 3
1558; 3; 1;  11.05.2025;  11.05.2025; 22
1559; 2; 4;  16.04.2025;  24.04.2025; 6
1561; 2; 2;  20.04.2025;  25.04.2025; 9
1565; 2; 6;  24.04.2025;  02.05.2025; 9
1574; 1; 1;  10.09.2025;  19.09.2025; 16
1577; 6; 3;  05.09.2025;  09.09.2025; 13
1582; 3; 6;  12.05.2025;  18.05.2025; 17
1584; 2; 6;  28.04.2025;  03.05.2025; 6
1595; 5; 6;  18.06.2025;  20.06.2025; 1
1597; 1; 6;  16.09.2025;  18.09.2025; 25
1598; 6; 2;  07.09.2025;  11.09.2025; 13
1603; 2; 6;  01.05.2025;  05.05.2025; 6
1606; 1; 6;  19.09.2025;  23.09.2025; 16
1607; 3; 4;  14.05.2025;  19.05.2025; 15
1608; 6; 6;  12.09.2025;  13.09.2025; 11
1610; 2; 3;  05.05.2025;  13.05.2025; 9
1620; 6; 2;  16.09.2025;  22.09.2025; 13
1637; 7; 2;  28.10.2025;  01.11.2025; 9
1638; 4; 2;  03.10.2025;  09.10.2025; 3
1640; 6; 2;  19.09.2025;  20.09.2025; 12
1641; 7; 6;  31.10.2025;  02.11.2025; 11
1643; 6; 4;  19.09.2025;  21.09.2025; 11
1645; 1; 1;  23.09.2025;  02.10.2025; 16
1649; 4; 4;  06.10.2025;  09.10.2025; 5
1662; 6; 6;  20.09.2025;  27.09.2025; 15
1666; 3; 3;  14.05.2025;  16.05.2025; 24
1668; 1; 4;  28.09.2025;  29.09.2025; 25
1677; 4; 2;  10.10.2025;  15.10.2025; 4
1681; 3; 6;  21.05.2025;  22.05.2025; 19
1683; 4; 2;  15.10.2025;  17.10.2025; 4
1684; 7; 5;  02.11.2025;  10.11.2025; 11
1685; 3; 1;  23.05.2025;  23.05.2025; 15
1688; 4; 4;  20.10.2025;  29.10.2025; 5
1690; 2; 3;  09.05.2025;  15.05.2025; 8
1699; 2; 5;  12.05.2025;  12.05.2025; 10
1701; 2; 1;  15.05.2025;  19.05.2025; 6
1704; 4; 4;  24.10.2025;  03.11.2025; 4
1708; 4; 6;  27.10.2025;  28.10.2025; 4
1709; 7; 6;  05.11.2025;  11.11.2025; 4
1711; 1; 2;  02.10.2025;  10.10.2025; 19
1717; 6; 4;  24.09.2025;  04.10.2025; 10
1718; 2; 2;  19.05.2025;  22.05.2025; 6
1722; 1; 1;  08.10.2025;  10.10.2025; 19
1728; 6; 4;  25.09.2025;  26.09.2025; 12
1729; 5; 6;  22.06.2025;  25.06.2025; 2
1732; 3; 6;  26.05.2025;  01.06.2025; 19
1741; 3; 6;  26.05.2025;  05.06.2025; 23
1744; 6; 1;  27.09.2025;  28.09.2025; 12
1745; 5; 5;  23.06.2025;  26.06.2025; 1
1749; 1; 6;  12.10.2025;  21.10.2025; 16
1753; 4; 5;  31.10.2025;  03.11.2025; 4
1757; 3; 6;  29.05.2025;  06.06.2025; 16
1762; 4; 4;  04.11.2025;  06.11.2025; 4
1763; 7; 6;  08.11.2025;  08.11.2025; 4
1773; 5; 5;  25.06.2025;  29.06.2025; 1
1775; 3; 4;  29.05.2025;  04.06.2025; 23
1777; 6; 5;  28.09.2025;  05.10.2025; 14
1797; 4; 2;  05.11.2025;  10.11.2025; 5
